categorie,Marque et annee,Prix,Adresse,Kilometrage,Boite_vitesse,Carburant,Reference
motos,Aprilia RS 2005,250 000FCFA,"Mermoz Sacré-Coeur,Dakar",1 km,Non spécifié,Non spécifié,137281
motos,Gilera runner fx 2021,350 000FCFA,"Mermoz Sacré-Coeur,Dakar",120 km,Non spécifié,Non spécifié,137282
motos,Piaggio NRG 2020,300 000FCFA,"Mermoz Sacré-Coeur,Dakar",120 km,Non spécifié,Non spécifié,137283
motos,Piaggio runner 2018,1 100 000FCFA,"Almadies,Dakar",30000 km,Non spécifié,Non spécifié,137228
motos,Honda CB 2022,1 350 000FCFA,"Fann,Dakar",1700 km,Non spécifié,Non spécifié,137229
motos,Honda CB 2021,2 200 000FCFA,"Fann,Dakar",4900 km,Non spécifié,Non spécifié,137230
motos,BMW GS 2022,4 500 000FCFA,"Fann,Dakar",3000 km,Non spécifié,Non spécifié,137231
motos,Piaggio GT 2017,1 000 000FCFA,"Sicap Dieuppeul,Dakar",7000 km,Non spécifié,Non spécifié,137232
motos,Piaggio Beverly 2016,550 000FCFA,"Guédiawaye,Dakar",1 km,Non spécifié,Non spécifié,137233
motos,Piaggio Zip 2019,340 000FCFA,"Plateau,Dakar",3400 km,Non spécifié,Non spécifié,137236
motos,Piaggio Liberty 2020,500 000FCFA,"Parcelles Assainies,Dakar",1 km,Non spécifié,Non spécifié,137234
motos,Yamaha MT 2022,2 200 000FCFA,"Almadies,Dakar",1 km,Non spécifié,Non spécifié,137195
motos,Beverly  350i  2019,1 650 000FCFA,"Liberté 6,Dakar",1 km,Non spécifié,Non spécifié,137196
motos,Honda SH 2019,750 000FCFA,"Rufisque,Dakar",1 km,Non spécifié,Non spécifié,137197
motos,Honda SH 2021,2 500 000FCFA,"Parcelles Assainies,Dakar",16000 km,Non spécifié,Non spécifié,137198
motos,Yamaha X-Max 2022,2 500 000FCFA,"Parcelles Assainies,Dakar",1 km,Non spécifié,Non spécifié,137199
motos,Honda SH 2021,3 850 000FCFA,"Parcelles Assainies,Dakar",1 km,Non spécifié,Non spécifié,137200
motos,Yamaha YBR 2021,1 600 000FCFA,"Liberté 6 extension,Dakar",1 km,Non spécifié,Non spécifié,137201
motos,BMW R 2022,8 500 000FCFA,"Sicap Dieuppeul,Dakar",1 km,Non spécifié,Non spécifié,137202
motos,Honda SH 2008,450 000FCFA,"Malika,Dakar",Non spécifié,Non spécifié,Non spécifié,136994
motos,Yamaha MT-09-TRACER 2021,1 730 000FCFA,"Fann,Dakar",1 km,Non spécifié,Non spécifié,137176
motos,Yamaha MT 2020,2 680 000FCFA,"Fann,Dakar",5000 km,Non spécifié,Non spécifié,137177
motos,KTM Duke 2022,2 850 000FCFA,"Fann,Dakar",2000 km,Non spécifié,Non spécifié,137178
motos,Kawasaki Brute Force 2018,2 290 000FCFA,"Ouakam,Dakar",27000 km,Non spécifié,Non spécifié,137189
motos,Suzuki RG 2000,350 000FCFA,"Grand-Dakar,Dakar",1 km,Non spécifié,Non spécifié,137190
motos,Piaggio Liberty 2017,220 000FCFA,"Sicap Dieuppeul,Dakar",1 km,Non spécifié,Non spécifié,137166
